*,2022 Shafts
=,MFG,MDL,SIZE,USE,OD,STKLEN,SPINE,GPI,PI,BPC,STDN
-,ABC
ICS Energy,360,BCd,0.294,32,0.36,8.31,11,12,12
MFX Classic,500-Al,HCd,0.27,31,0.5,9.7,16,0,12
MFX Classic,400-Al,HCd,0.274,31.5,0.4,10.4,16,0,12
MFX Classic,340-Al,HCd,0.278,32,0.34,11.2,16,0,12
MFX Black Max,500,BCd,0.258,31,0.5,8.9,16,0,12
MFX Black Max,400,BCd,0.264,31.5,0.4,9.6,16,0,12
MFX Black Max,340,BCd,0.267,32,0.34,10.4,16,0,12
MFX Black Max,300,BCd,0.275,32.5,0.3,11.7,16,0,12
MFX Black Max Elite,500,BCd,0.258,31,0.5,8.9,16,0,12
MFX Black Max Elite,400,BCd,0.264,31.5,0.4,9.6,16,0,12
MFX Black Max Elite,340,BCd,0.267,32,0.34,10.4,16,0,12
MFX Black Max Elite,300,BCd,0.275,32.5,0.3,11.7,16,0,12
MFX Max-4,500,HCd,0.266,31,0.5,9.7,16,0,12
MFX Max-4,400,HCd,0.272,31.5,0.4,10.4,16,0,12
MFX Max-4,340,HCd,0.275,32,0.34,11.2,16,0,12
MFX Max-4,300,HCd,0.283,32.5,0.3,12.5,16,0,12
MFX Team Realtree,500,HCd,0.266,31,0.5,8.9,16,0,12
MFX Team Realtree,400,HCd,0.272,31.5,0.4,9.6,16,0,12
MFX Team Realtree,340,HCd,0.275,32,0.34,10.4,16,0,12
MFX Team Realtree,300,HCd,0.283,32.5,0.3,11.7,16,0,12
Extreme,1000,HCd,0.23,29.5,1,5.68,0,2,12
Extreme,900,HCd,0.23,29.5,0.9,5.83,0,2,12
Extreme,780,HCd,0.244,30,0.78,6.3,16,3,12
Extreme,690,HCd,0.244,30.5,0.69,6.27,16,3,12
Extreme,600,HCd,0.256,31,0.6,6.92,18,4,12
Extreme,520,HCd,0.277,31.5,0.52,7.09,9,6,12
Extreme,460,HCd,0.277,31.5,0.46,7.32,9,6,12
Extreme,410,HCd,0.284,32,0.41,7.6,11,7,12
Extreme,360,HCd,0.294,32,0.36,8.31,11,7,12
ICS Hawk,500,HCd,0.288,32.75,0.5,7.1,21,0,12
ICS Hawk,400,HCd,0.294,33,0.4,8.1,21,0,12
ICS Hawk,340,HCd,0.298,33.25,0.34,8.8,21,0,12
ICS Venture,500,HCd,0.284,31,0.5,7.3,21,0,12
ICS Venture,400,HCd,0.294,31.5,0.4,8.4,21,0,12
ICS Venture,340,HCd,0.298,32,0.34,9.3,21,0,12
ICS Venture,300,HCd,0.3,32.5,0.3,9.5,21,0,12
CarbonMetal,460,HBd,0.287,0,0.46,9,21,7.1,12
CarbonMetal,400,HBd,0.287,0,0.4,9.5,21,7.1,12
CarbonMetal,340,HBd,0.287,0,0.34,10.4,21,7.1,12
CarbonMetal,300,HBd,0.287,0,0.3,11,21,7.1,12
ICS Field,500,TCd,0.287,0,0.5,6.85,11,7.1,12
ICS Field,400,TCd,0.287,0,0.4,7.75,11,7.1,12
ICS Field,340,TCd,0.287,0,0.34,8.8,11,7.1,12
ICS Hunter Elite,500,BCd,0.284,31,0.5,7.3,22,0,12
ICS Hunter Elite,400,BCd,0.294,31.5,0.4,8.4,22,0,12
ICS Hunter Elite,340,BCd,0.298,32,0.34,9.3,22,0,12
ICS Hunter Elite,300,BCd,0.3,32.5,0.3,9.5,22,0,12
Carbon Cub,Cub26,HCd,0.203,26,1,5.5,0,0,12
Carbon Cub,Cub27,HCd,0.203,27,0.85,6.5,0,0,12
Carbon Cub,Cub28,HCd,0.203,28,0.85,6.5,0,0,12
Carbon Cub,Cub29,HCd,0.219,29,0.6,7,0,0,12
Carbon Hunter,CH530-15,HCd,0.234,0,0.53,7.5,35,14,12
Carbon Hunter,CH490-15,HCd,0.234,0,0.49,8.3,35,14,12
Carbon Hunter,CH470-16,HCd,0.25,0,0.47,8.3,35,16,12
Carbon Hunter,CH400-16,HCd,0.25,0,0.4,8.7,35,16,12
Carbon Hunter,CH380-16,HCd,0.25,0,0.38,9.3,35,16,12
Carbon Hunter,CH360-16,HCd,0.25,0,0.36,9.7,35,16,12
Carbon Hunter,CH330-16,HCd,0.25,0,0.33,9.7,35,16,12
Carbon Racing,CR13-1000,TCd,0.203,0,1,5.5,9,0,12
Carbon Racing,CR13-900,TCd,0.203,0,0.9,6.3,9,0,12
Carbon Racing,CR13-800,TCd,0.203,0,0.8,6.6,9,0,12
Carbon Racing,CR14-700,TCd,0.219,0,0.7,6.9,12,0,12
Carbon Racing,CR14-630,TCd,0.219,0,0.63,6.9,12,0,12
Carbon Racing,CR14-570,TCd,0.219,0,0.57,7.1,12,0,12
Carbon Racing,CR14-520,TCd,0.219,0,0.52,7.1,12,0,12
-,Black Eagle
Carnivore,UL,BC,0.286,31,0.5,5.9,14,0,11
Carnivore,400,BC,0.287,31,0.4,6.8,14,0,11
Carnivore,350,BC,0.291,31,0.35,7.5,14,0,11
Carnivore,300,BC,0.296,31,0.3,8.5,14,0,11
Carnivore,250,BC,0.303,31,0.25,9.7,14,0,11
Carnivore,UL-G-UNI,BC,0.292,31,0.5,5.9,14,8,7
Carnivore,400-G-UNI,BC,0.287,31,0.4,6.8,14,8,7
Carnivore,350-G-UNI,BC,0.291,31,0.35,7.5,14,8,7
Carnivore,300-G-UNI,BC,0.296,31,0.3,8.5,14,8,7
Carnivore,250-G-UNI,BC,0.303,31,0.25,9.7,14,8,7
Zombie Slayer,600,BCd,0.281,31,0.6,5.7,14,0,11
Zombie Slayer,500,BC,0.286,32.5,0.5,6.7,14,0,11
Zombie Slayer,400,BC,0.291,32.5,0.4,7.5,14,0,11
Zombie Slayer,350,BC,0.293,32.5,0.35,8,14,0,11
Zombie Slayer,300,BC,0.298,32.5,0.3,9.2,14,0,11
Outlaw,600,BC,0.278,32,0.6,6.8,14,0,11
Outlaw,500,BC,0.285,32,0.5,7.4,14,0,11
Outlaw,400,BC,0.294,32,0.4,8.1,14,0,11
Outlaw,350,BC,0.297,32,0.35,8.6,14,0,11
Outlaw,300,BC,0.3,32,0.3,9.1,14,0,11
Spartan,500,BC,0.268,32,0.5,6.4,28,10,11
Spartan,400,BC,0.272,32,0.4,7.2,28,10,11
Spartan,350,BC,0.276,32,0.35,8,28,10,11
Spartan,300,BC,0.282,32,0.3,9,28,10,11
Spartan,250,BC,0.289,32,0.25,10,28,10,11
Spartan,200,BCd,0.297,32,0.2,11.8,28,10,11
Rampage,400,BC,0.253,32,0.4,7,58,0,9
Rampage,350,BC,0.261,32,0.35,8.2,58,0,9
Rampage,300,BC,0.264,32,0.3,8.7,58,0,9
Rampage,250,BC,0.276,32,0.25,10.7,58,0,9
Rampage,150,BC,0.304,32,0.15,16,58,0,9
Renegade,400,BC,0.263,32.5,0.4,8,58,0,11
Renegade,350,BC,0.267,32.5,0.35,8.7,58,0,11
Renegade,300,BC,0.275,32.5,0.3,10,58,0,11
Renegade,250,BC,0.28,32.5,0.25,10.8,58,0,11
Renegade,400-PB,BC,0.263,32.5,0.4,8,58,19,5
Renegade,350-PB,BC,0.267,32.5,0.35,8.7,58,19,5
Renegade,300-PB,BC,0.275,32.5,0.3,10,58,19,5
Renegade,250-PB,BC,0.28,32.5,0.25,10.8,58,19,5
DeepImpact,900,BC,0.203,32,0.9,5.2,0,0,7
DeepImpact,800,BC,0.213,32,0.8,5.8,0,0,7
DeepImpact,700,BC,0.218,32,0.7,6.3,0,0,7
DeepImpact,600,BC,0.223,32,0.6,7,0,0,7
DeepImpact,500,BC,0.228,32,0.5,7.6,0,0,7
DeepImpact,400,BC,0.233,32,0.4,8.6,0,0,7
DeepImpact,350,BC,0.24,32,0.35,9.6,0,0,7
DeepImpact,300,BC,0.248,32,0.3,11,0,0,7
DeepImpact,250,BCd,0.252,32,0.25,11.5,0,0,7
DeepImpact,400-SSO,BC,0.233,32,0.4,8.6,67,0,7
DeepImpact,350-SSO,BC,0.24,32,0.35,9.6,68,0,7
DeepImpact,300-SSO,BC,0.248,32,0.3,11,68,0,7
